instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
256265,1001,NIFTY 50,NIFTY 50,24921.4,,0.0,0.05,1,EQ,INDICES,NSE
260105,1016,NIFTY BANK,NIFTY BANK,55210.3,,0.0,0.05,1,EQ,INDICES,NSE
264969,1035,INDIA VIX,INDIA VIX,13.82,,0.0,0.05,1,EQ,INDICES,NSE
257801,1007,NIFTY FIN SERVICE,NIFTY FIN SERVICE,26010.1,,0.0,0.05,1,EQ,INDICES,NSE
738561,2885,RELIANCE,RELIANCE INDUSTRIES,1412.5,,0.0,0.05,1,EQ,NSE,NSE
408065,1594,INFY,INFOSYS,1498.2,,0.0,0.05,1,EQ,NSE,NSE
2953217,11536,TCS,TATA CONSULTANCY SERV LT,3080.0,,0.0,0.05,1,EQ,NSE,NSE
341249,1333,HDFCBANK,HDFC BANK,965.4,,0.0,0.05,1,EQ,NSE,NSE
779521,3045,SBIN,STATE BANK OF INDIA,812.1,,0.0,0.05,1,EQ,NSE,NSE
1270529,4963,ICICIBANK,ICICI BANK,1391.7,,0.0,0.05,1,EQ,NSE,NSE
424961,1660,ITC,ITC,410.3,,0.0,0.05,1,EQ,NSE,NSE
884737,3456,TATAMOTORS,TATA MOTORS,715.9,,0.0,0.05,1,EQ,NSE,NSE
128083204,500325,RELIANCE,RELIANCE INDUSTRIES,1412.4,,0.0,0.05,1,EQ,BSE,BSE
13368834,52222,NIFTY26SEPFUT,NIFTY,24980.5,2026-09-29,0.0,0.05,75,FUT,NFO-FUT,NFO
13368066,52219,NIFTY26OCTFUT,NIFTY,25110.0,2026-10-27,0.0,0.05,75,FUT,NFO-FUT,NFO
13367810,52218,NIFTY26NOVFUT,NIFTY,25240.0,2026-11-24,0.0,0.05,75,FUT,NFO-FUT,NFO
13369090,52223,BANKNIFTY26SEPFUT,BANKNIFTY,55390.0,2026-09-29,0.0,0.05,35,FUT,NFO-FUT,NFO
13369346,52224,BANKNIFTY26OCTFUT,BANKNIFTY,55680.0,2026-10-27,0.0,0.05,35,FUT,NFO-FUT,NFO
13370114,52227,RELIANCE26SEPFUT,RELIANCE,1418.0,2026-09-29,0.0,0.05,500,FUT,NFO-FUT,NFO
13400066,52344,NIFTY2691524900CE,NIFTY,180.5,2026-09-15,24900.0,0.05,75,CE,NFO-OPT,NFO
13400322,52345,NIFTY2691524900PE,NIFTY,95.2,2026-09-15,24900.0,0.05,75,PE,NFO-OPT,NFO
13400578,52346,NIFTY2691525000CE,NIFTY,120.3,2026-09-15,25000.0,0.05,75,CE,NFO-OPT,NFO
13400834,52347,NIFTY2691525000PE,NIFTY,135.8,2026-09-15,25000.0,0.05,75,PE,NFO-OPT,NFO
13401090,52348,NIFTY2691525100CE,NIFTY,75.1,2026-09-15,25100.0,0.05,75,CE,NFO-OPT,NFO
13401346,52349,NIFTY2691525100PE,NIFTY,190.4,2026-09-15,25100.0,0.05,75,PE,NFO-OPT,NFO
13402114,52352,NIFTY2692225000CE,NIFTY,160.0,2026-09-22,25000.0,0.05,75,CE,NFO-OPT,NFO
13402370,52353,NIFTY2692225000PE,NIFTY,170.5,2026-09-22,25000.0,0.05,75,PE,NFO-OPT,NFO
13403138,52356,NIFTY26SEP25000CE,NIFTY,210.0,2026-09-29,25000.0,0.05,75,CE,NFO-OPT,NFO
13403394,52357,NIFTY26SEP25000PE,NIFTY,205.5,2026-09-29,25000.0,0.05,75,PE,NFO-OPT,NFO
13410050,52383,BANKNIFTY26SEP56000CE,BANKNIFTY,320.0,2026-09-29,56000.0,0.05,35,CE,NFO-OPT,NFO
13410306,52384,BANKNIFTY26SEP56000PE,BANKNIFTY,980.0,2026-09-29,56000.0,0.05,35,PE,NFO-OPT,NFO
13420034,52422,RELIANCE26SEP1400CE,RELIANCE,38.5,2026-09-29,1400.0,0.05,500,CE,NFO-OPT,NFO
13500034,52735,USDINR26SEPFUT,USDINR,88.1,2026-09-28,0.0,0.0025,1,FUT,CDS-FUT,CDS
